ISO3,country_name,region,income_group,population,gdp_ppp,total_ghg,co2_fossil,ghg_per_capita,re_share_elec,ndgain_rank,ndgain_vuln,ndgain_ready,data_year,source_primary
COM,Comoros,Africa,,850387,1326836543,0.8957204222679138,0.5421299934387207,1.2003711462020874,0,,,,2024,Supabase
CUB,Cuba,Americas,,11019931,105849513420,29.651277542114258,23.47027015686035,3.498295307159424,4.709,,,,2024,Supabase
GUM,Guam,Oceania,,166506,6965470759,,,0.00180173687434687,7.778,,,,2024,Supabase
ARG,Argentina,Americas,,45538401,649461687959,205.7686767578125,178.40699768066406,9.379297256469727,34.098,,,,2024,Supabase
WLF,Wallis and Futuna,Oceania,,11620,,,0.029174000024795532,,,,,,2024,Supabase
BTN,Bhutan,Asia,,786385,3012896789,2.4895401000976562,1.629647970199585,10.124429702758789,100,,,,2024,Supabase
LBN,Lebanon,Asia,,5773493,20078620357,19.732717514038086,15.558804512023926,3.5472288131713867,47.345,,,,2024,Supabase
HMD,Heard Island and McDonald Islands,Antarctic,,,,,,,,,,,2024,Supabase
LSO,Lesotho,Africa,,2311472,2117962445,3.353863000869751,2.4936330318450928,2.7067477703094482,100,,,,2024,Supabase
SOM,Somalia,Africa,,18358615,10958000000,9.874446868896484,1.2964190244674683,2.5721497535705566,19.048,,,,2024,Supabase
DMA,Dominica,Americas,,66510,659311111,0.19780567288398743,0.1645369976758957,2.9545130729675293,13.333,,,,2024,Supabase
HUN,Hungary,Europe,,9592186,213240316635,48.03031539916992,40.34386444091797,5.022878170013428,26.351,,,,2024,Supabase
LUX,Luxembourg,Europe,,666430,88788881539,7.0373921394348145,6.840733051300049,11.68285083770752,89.209,,,,2024,Supabase
SMR,San Marino,Europe,,33860,2027527228,,,,,,,,2024,Supabase
AFG,Afghanistan,Asia,,41454761,17152234637,15.366217613220215,10.516319274902344,0.9329470992088318,86.598,,,,2024,Supabase
MRT,Mauritania,Africa,,5022441,10726838461,6.966388702392578,5.036898136138916,3.58858585357666,27.439,,,,2024,Supabase
DZA,Algeria,Africa,,46164219,247923887215,265.2669677734375,202.84664916992188,6.042624473571777,0.945,,,,2024,Supabase
GLP,Guadeloupe,Americas,,378561,,,,,34.756,,,,2024,Supabase
HRV,Croatia,Europe,,3859686,85624153964,21.553848266601562,18.46759796142578,5.784372806549072,69.762,,,,2024,Supabase
BGR,Bulgaria,Europe,,6446596,102199231385,42.0294075012207,34.500946044921875,6.375943183898926,25.131,,,,2024,Supabase
NIU,Niue,Oceania,,1681,,0.007399116642773151,0.0072929998859763145,4.606970310211182,,,,,2024,Supabase
IDN,Indonesia,Asia,,281190067,1371169301564,1093.8724365234375,762.3575439453125,6.902261257171631,18.597,,0.455,0.385,2024,Supabase
BEL,Belgium,Europe,,11779946,651330595110,95.67281341552734,84.70336151123047,9.138999938964844,33.443,,,,2024,Supabase
NRU,Nauru,Oceania,,11875,151435610,0.05971314385533333,0.05870499834418297,5.143466949462891,0,,,,2024,Supabase
PYF,French Polynesia,Oceania,,281118,6137447783,,0.8824999928474426,3.30181631912578,33.803,,,,2024,Supabase
IRQ,Iraq,Asia,,45074049,268881051644,387.1495361328125,227.90969848632812,8.790264129638672,1.171,,,,2024,Supabase
MDG,Madagascar,Africa,,31195932,15869945478,12.637142181396484,4.446771144866943,1.943827509880066,35.227,,,,2024,Supabase
VNM,Vietnam,Asia,,100352192,433857681378,399.98358154296875,347.3987731933594,5.621842384338379,42.982,,,,2024,Supabase
MUS,Mauritius,Africa,,1248647,14072212290,5.226425647735596,4.587621212005615,4.209921360015869,17.431,,,,2024,Supabase
ASM,American Samoa,Oceania,,47521,856207666,,,0.00210433282127901,0,,,,2024,Supabase
CIV,Ivory Coast,Africa,,31165654,80780312569,23.959659576416016,14.052435874938965,4.3854594230651855,31.087,,,,2024,Supabase
BES,Caribbean Netherlands,Americas,,31980,,,0.1462640017271042,,,,,,2024,Supabase
LIE,Liechtenstein,Europe,,39846,8239379403,0.14212775230407715,0.1312209963798523,3.6842453479766846,,,,,2024,Supabase
ITA,Italy,Europe,,58984216,2316727999333,336.71826171875,312.2906494140625,6.179476737976074,44.577,,,,2024,Supabase
KNA,Saint Kitts and Nevis,Americas,,46758,1055651852,0.2851220965385437,0.2501470148563385,6.033127307891846,4.545,,,,2024,Supabase
QAT,Qatar,Asia,,2656032,217308516484,142.33860778808594,119.54435729980469,47.99644470214844,0.254,,,,2024,Supabase
TUR,Turkey,Asia,,85325965,1141242864657,580.6168212890625,486.944580078125,7.519928455352783,42.009,,0.375,0.42,2024,Supabase
VIR,United States Virgin Islands,Americas,,104917,4650016829,,,0.00190626876483315,2.985,,,,2024,Supabase
AGO,Angola,Africa,,36749906,107167747140,49.92201232910156,21.674816131591797,4.375890731811523,76.421,,,,2024,Supabase
KEN,Kenya,Africa,,55339003,107500884685,37.70582962036133,21.18572235107422,1.816469430923462,89.836,,,,2024,Supabase
SAU,Saudi Arabia,Asia,,33702731,1218584533333,789.1405639648438,677.44189453125,24.123931884765625,1.364,,0.412,0.48,2024,Supabase
SSD,South Sudan,Africa,,11483374,12403734115,6.049597263336182,1.6662909984588623,5.083556652069092,6.78,,,,2024,Supabase
TCA,Turks and Caicos Islands,Americas,,46198,1638653000,0.37227189540863037,0.3648270070552826,8.05417251586914,0,,,,2024,Supabase
CAN,Canada,Americas,,40083484,2173339670064,648.4931030273438,545.478515625,20.99415397644043,66.514,,0.31,0.685,2024,Supabase
NER,Niger,Africa,,26159867,16698786978,6.54838752746582,3.13339900970459,1.9657553434371948,2.5,,,,2024,Supabase
GIB,Gibraltar,Europe,,38471,,,,16.3551766265499,0,,,,2024,Supabase
KWT,Kuwait,Asia,,4853420,165384407116,163.00039672851562,123.16871643066406,33.80329895019531,2.232,,,,2024,Supabase
VEN,Venezuela,Americas,,28300854,102376526556,139.8105010986328,119.58776092529297,7.038132667541504,78.382,,,,2024,Supabase
GMB,Gambia,Africa,,2697845,2382262185,1.3895622491836548,0.7726349830627441,1.0973457098007202,0,,,,2024,Supabase
PRY,Paraguay,Americas,,6844146,43118053175,10.576542854309082,7.645687103271484,9.844616889953613,100,,,,2024,Supabase
CHL,Chile,Americas,,19658835,335518054098,94.48703002929688,77.60421752929688,5.403839111328125,64.401,,,,2024,Supabase
